,STATE,ST_CASE,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,WEATHER,DRUNK_DR
164,Alabama,10166,81,200,10,4,2015,Friday,3,15,Cloudy,1
165,Alabama,10167,125,718,11,4,2015,Saturday,23,45,Cloudy,1
166,Alabama,10168,51,2940,12,4,2015,Sunday,0,51,Clear,1
167,Alabama,10169,89,0,13,4,2015,Monday,12,10,Rain,0
168,Alabama,10170,113,0,8,4,2015,Wednesday,20,23,Clear,0
169,Alabama,10171,61,0,9,4,2015,Thursday,5,0,Fog/Smog/Smoke,0
170,Alabama,10172,107,0,10,4,2015,Friday,15,40,Clear,0
171,Alabama,10173,109,0,11,4,2015,Saturday,23,40,Clear,1
172,Alabama,10174,121,0,15,4,2015,Wednesday,5,10,Clear,0
173,Alabama,10175,117,0,15,4,2015,Wednesday,11,50,Clear,0
174,Alabama,10176,19,1852,16,4,2015,Thursday,7,20,Cloudy,0
175,Alabama,10177,5,720,16,4,2015,Thursday,20,5,Rain,0
176,Alabama,10178,73,330,18,4,2015,Saturday,21,49,Rain,0
177,Alabama,10179,95,50,18,4,2015,Saturday,10,22,Cloudy,0
178,Alabama,10180,21,0,18,4,2015,Saturday,20,25,Cloudy,0
179,Alabama,10181,15,0,19,4,2015,Sunday,3,25,Cloudy,0
180,Alabama,10182,115,0,19,4,2015,Sunday,9,0,Cloudy,0
181,Alabama,10183,47,2760,17,4,2015,Friday,20,15,Cloudy,0
182,Alabama,10184,43,0,21,4,2015,Tuesday,15,0,Clear,1
183,Alabama,10185,73,330,22,4,2015,Wednesday,14,38,Clear,0
184,Alabama,10186,9,0,24,4,2015,Friday,13,40,Clear,0
185,Alabama,10187,125,0,24,4,2015,Friday,20,30,Clear,1
186,Alabama,10188,73,3080,25,4,2015,Saturday,12,50,Clear,1
187,Alabama,10189,71,0,26,4,2015,Sunday,10,30,Clear,0
188,Alabama,10190,13,0,8,4,2015,Wednesday,13,30,Clear,0
189,Alabama,10191,53,0,25,4,2015,Saturday,4,20,Rain,1
190,Alabama,10192,101,2130,28,4,2015,Tuesday,8,11,Clear,0
191,Alabama,10193,89,0,17,4,2015,Friday,11,10,Rain,0
192,Alabama,10194,3,1011,17,4,2015,Friday,18,39,Clear,1
193,Alabama,10195,73,350,22,4,2015,Wednesday,9,36,Clear,1
194,Alabama,10196,19,0,24,4,2015,Friday,20,35,Cloudy,1
195,Alabama,10197,125,3050,25,4,2015,Saturday,20,38,Cloudy,1
196,Alabama,10198,123,0,27,4,2015,Monday,9,45,Clear,0
197,Alabama,10199,43,0,27,4,2015,Monday,10,25,Cloudy,0
198,Alabama,10200,79,0,15,4,2015,Wednesday,11,0,Clear,0
199,Alabama,10201,95,400,30,4,2015,Thursday,23,0,Clear,0
200,Alabama,10202,3,0,23,4,2015,Thursday,20,57,Clear,0
201,Alabama,10203,121,0,25,4,2015,Saturday,0,25,Cloudy,1
202,Alabama,10204,53,0,1,5,2015,Friday,18,15,Clear,0
203,Alabama,10205,73,1716,5,5,2015,Tuesday,0,17,Clear,1
204,Alabama,10206,101,2130,2,4,2015,Thursday,19,32,Clear,0
205,Alabama,10207,17,3111,16,4,2015,Thursday,20,6,Rain,0
206,Alabama,10208,125,3050,20,4,2015,Monday,23,0,Cloudy,0
207,Alabama,10209,77,1200,23,4,2015,Thursday,13,9,Clear,0
