,ST_CASE,HOUR,MINUTE,TIME
8621,122777,8,12,492
8622,122778,21,10,1270
8623,122779,20,54,1254
8624,122780,15,57,957
8625,122781,19,51,1191
8626,122782,23,36,1416
8627,122783,17,11,1031
8628,122784,21,10,1270
8629,122785,23,40,1420
8630,122786,6,13,373
8631,122787,5,2,302
8632,122788,10,32,632
8633,122789,7,5,425
8634,122790,7,29,449
8635,122791,19,12,1152
8636,122792,22,28,1348
8637,122793,18,53,1133
8638,122794,1,36,96
8639,122795,16,17,977
8640,122796,21,25,1285
8641,122797,19,29,1169
8642,122798,20,30,1230
8643,122799,18,0,1080
8644,122800,21,5,1265
8645,122801,6,33,393
8646,122802,5,50,350
8647,122803,11,9,669
8648,122804,21,15,1275
8649,122805,4,0,240
8650,122806,11,6,666
8651,122807,19,33,1173
8652,122808,14,53,893
8653,130001,4,0,240
8654,130002,5,26,326
8655,130003,17,0,1020
8656,130004,13,3,783
8657,130005,16,20,980
8658,130006,4,12,252
8659,130007,18,13,1093
8660,130008,22,37,1357
8661,130009,13,28,808
8662,130010,16,59,1019
8663,130011,5,0,300
8664,130012,21,0,1260
8665,130013,10,35,635
8666,130014,14,14,854
8667,130015,6,51,411
8668,130016,17,50,1070
8669,130017,1,10,70
8670,130018,18,27,1107
8671,130019,16,2,962
8672,130020,0,30,30
8673,130021,19,45,1185
8674,130022,7,17,437
8675,130023,10,20,620
8676,130024,14,10,850
8677,130025,6,46,406
8678,130026,23,7,1387
8679,130027,18,59,1139
8680,130028,2,0,120
8681,130029,19,40,1180
8682,130030,13,2,782
8683,130031,14,19,859
8684,130032,18,32,1112
8685,130033,8,55,535
8686,130034,9,59,599
8687,130035,12,32,752
8688,130036,16,35,995
8689,130037,22,32,1352
8690,130038,18,37,1117
8691,130039,21,10,1270
8692,130040,21,25,1285
8693,130041,23,39,1419
8694,130042,19,5,1145
8695,130043,10,44,644
8696,130044,11,21,681
8697,130045,22,19,1339
8698,130046,7,20,440
8699,130047,7,57,477
8700,130048,14,15,855
8701,130049,14,30,870
8702,130050,4,0,240
8703,130051,20,49,1249
8704,130052,23,30,1410
8705,130053,0,1,1
8706,130054,6,18,378
8707,130055,16,23,983
8708,130056,19,11,1151
8709,130057,18,23,1103
8710,130058,13,12,792
8711,130059,16,31,991
8712,130060,13,30,810
8713,130061,13,45,825
8714,130062,19,50,1190
8715,130063,11,20,680
8716,130064,6,32,392
8717,130065,21,47,1307
8718,130066,17,59,1079
8719,130067,17,32,1052
8720,130068,6,58,418
8721,130069,23,5,1385
8722,130070,17,11,1031
8723,130071,12,44,764
8724,130072,1,15,75
8725,130073,15,48,948
8726,130074,22,32,1352
8727,130075,2,15,135
8728,130076,10,48,648
8729,130077,13,30,810
8730,130078,13,0,780
8731,130079,22,35,1355
8732,130080,11,30,690
8733,130081,10,58,658
8734,130082,3,7,187
8735,130083,2,30,150
8736,130084,20,25,1225
8737,130085,7,53,473
8738,130086,14,5,845
8739,130087,16,22,982
8740,130088,0,15,15
8741,130089,15,39,939
8742,130090,15,52,952
8743,130091,14,58,898
8744,130092,16,33,993
8745,130093,2,19,139
8746,130094,3,35,215
8747,130095,20,49,1249
8748,130096,5,0,300
8749,130097,12,40,760
8750,130098,17,59,1079
8751,130099,2,49,169
8752,130100,23,45,1425
8753,130101,14,35,875
8754,130102,15,12,912
8755,130103,12,35,755
8756,130105,0,32,32
8757,130106,8,46,526
8758,130107,21,40,1300
8759,130108,9,41,581
8760,130110,16,10,970
8761,130111,7,18,438
8762,130112,21,56,1316
8763,130113,6,36,396
8764,130114,16,6,966
8765,130115,11,9,669
8766,130116,4,29,269
8767,130117,15,30,930
8768,130118,3,7,187
8769,130119,13,30,810
8770,130120,0,52,52
8771,130121,16,52,1012
8772,130122,22,31,1351
8773,130123,20,21,1221
8774,130124,0,42,42
8775,130125,0,12,12
8776,130126,15,45,945
8777,130127,11,56,716
8778,130128,10,15,615
8779,130129,1,32,92
8780,130130,13,33,813
8781,130131,21,29,1289
8782,130132,8,4,484
8783,130133,19,26,1166
8784,130134,13,0,780
8785,130135,22,25,1345
8786,130136,13,50,830
8787,130137,5,50,350
8788,130138,2,45,165
8789,130139,11,28,688
8790,130140,21,49,1309
8791,130141,19,13,1153
8792,130142,3,0,180
8793,130143,23,4,1384
8794,130144,17,52,1072
8795,130145,19,10,1150
8796,130146,23,10,1390
8797,130147,22,45,1365
8798,130148,10,10,610
8799,130149,20,16,1216
8800,130150,1,25,85
8801,130151,23,26,1406
8802,130152,17,26,1046
8803,130153,23,6,1386
8804,130154,2,30,150
8805,130155,15,48,948
8806,130156,18,33,1113
8807,130157,23,32,1412
8808,130158,0,3,3
8809,130159,21,15,1275
8810,130160,3,38,218
8811,130161,3,19,199
8812,130162,13,19,799
8813,130163,23,50,1430
8814,130164,14,46,886
8815,130165,5,5,305
8816,130166,3,0,180
8817,130167,7,18,438
8818,130168,11,28,688
8819,130169,14,35,875
8820,130170,4,32,272
8821,130171,7,53,473
8822,130172,19,16,1156
8823,130173,1,4,64
8824,130174,6,30,390
8825,130175,3,10,190
8826,130176,5,17,317
8827,130177,16,10,970
8828,130178,20,5,1205
8829,130179,13,52,832
8830,130180,14,25,865
8831,130181,7,25,445
8832,130182,13,19,799
8833,130183,1,0,60
8834,130184,3,52,232
8835,130185,6,6,366
8836,130186,2,3,123
8837,130187,15,10,910
8838,130188,5,30,330
8839,130189,2,12,132
8840,130190,14,49,889
8841,130191,0,3,3
8842,130192,0,8,8
8843,130193,7,17,437
8844,130194,11,55,715
8845,130195,21,12,1272
8846,130196,6,17,377
8847,130197,19,37,1177
8848,130198,23,4,1384
8849,130199,6,26,386
8850,130200,15,53,953
8851,130201,5,45,345
8852,130202,17,30,1050
8853,130203,21,53,1313
8854,130204,7,0,420
8855,130205,19,40,1180
8856,130206,8,25,505
8857,130207,20,5,1205
8858,130208,11,13,673
8859,130209,2,8,128
8860,130210,19,42,1182
8861,130211,23,24,1404
8862,130212,21,32,1292
8863,130213,3,32,212
8864,130214,1,20,80
8865,130215,3,53,233
8866,130216,18,33,1113
8867,130217,10,19,619
8868,130218,19,15,1155
8869,130219,22,53,1373
8870,130220,18,48,1128
8871,130221,11,0,660
8872,130222,3,53,233
8873,130223,11,3,663
8874,130224,11,15,675
8875,130225,15,13,913
8876,130226,19,34,1174
8877,130227,15,0,900
8878,130228,23,14,1394
8879,130229,15,20,920
8880,130230,18,45,1125
8881,130231,11,50,710
8882,130232,1,0,60
8883,130233,7,29,449
8884,130234,6,0,360
8885,130235,5,30,330
8886,130236,19,7,1147
8887,130237,16,1,961
8888,130238,4,46,286
8889,130239,23,30,1410
8890,130240,5,38,338
8891,130241,0,43,43
8892,130242,2,32,152
8893,130243,23,42,1422
8894,130244,20,29,1229
